127.0.0.1 - - [14/Sep/2021:21:42:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:42:05 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:44:23 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:44:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:51:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:51:53 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:51:53 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:46 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:46 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:49 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:49 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:56 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:56 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:54:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:25 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:25 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:51 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:51 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:21:59:52 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:09 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:09 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:09 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:00:10 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:01:50 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:01:50 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:01:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:00 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:01 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:01 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:05 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:05 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:07 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:07 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:12 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:18 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:18 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:19 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:19 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:21 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:22 +0900] "GET /BBS/css/bootstrap.css%22 HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:02:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:05:30 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:05:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:05:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:05 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:06 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:08 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:08 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:13 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:13 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:10:18 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:16:48 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:16:48 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:16:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:29 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:32 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:34 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:34 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:36 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:17:36 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:18:30 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:18:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:18:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:18:31 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:18:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:22:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:22:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 204186
0:0:0:0:0:0:0:1 - - [14/Sep/2021:22:22:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 148821
